time_s,wheel_fl_rpm,wheel_fr_rpm,wheel_rl_rpm,wheel_rr_rpm,brake_pressure_fl_bar,brake_pressure_fr_bar,brake_pressure_rl_bar,brake_pressure_rr_bar,vehicle_speed_ref_kph,surface_type,road_mu,abs_active
0.0,212.20659078919383,212.20659078919383,212.20659078919383,212.20659078919383,20.0,20.0,20.0,20.0,100.0,dry,0.9,0
0.001,210.59829824765143,210.59829824765143,210.59829824765143,210.59829824765143,21.199955000506247,21.199955000506247,21.199955000506247,21.199955000506247,99.992,dry,0.9,0
0.002,208.99089679130577,208.99089679130577,208.99089679130577,208.99089679130577,22.399640016199655,22.399640016199655,22.399640016199655,22.399640016199655,99.984,dry,0.9,0
0.003,207.38502241616996,207.38502241616996,207.38502241616996,207.38502241616996,23.598785123012817,23.598785123012817,23.598785123012817,23.598785123012817,99.976,dry,0.9,0
0.004,205.78131040567763,205.78131040567763,205.78131040567763,205.78131040567763,24.79712051835557,24.79712051835557,24.79712051835557,24.79712051835557,99.968,dry,0.9,0
0.005,204.1803950766794,204.1803950766794,204.1803950766794,204.1803950766794,25.994376581819388,25.994376581819388,25.994376581819388,25.994376581819388,99.96,dry,0.9,0
0.006,202.58290952586768,202.58290952586768,202.58290952586768,202.58290952586768,27.19028393584088,27.19028393584088,27.19028393584088,27.19028393584088,99.952,dry,0.9,0
0.007,200.98948537672877,200.98948537672877,200.98948537672877,200.98948537672877,28.3845735063106,28.3845735063106,28.3845735063106,28.3845735063106,99.944,dry,0.9,0
0.008,199.40075252712643,199.40075252712643,199.40075252712643,199.40075252712643,29.57697658311355,29.57697658311355,29.57697658311355,29.57697658311355,99.936,dry,0.9,0
0.009000000000000001,197.81733889761418,197.81733889761418,197.81733889761418,197.81733889761418,30.767224880587865,30.767224880587865,30.767224880587865,30.767224880587865,99.928,dry,0.9,1
0.01,196.2398701805807,196.2398701805807,196.2398701805807,196.2398701805807,31.955050597887936,31.955050597887936,31.955050597887936,31.955050597887936,99.92,dry,0.9,1
0.011,194.66896959032522,194.66896959032522,194.66896959032522,194.66896959032522,33.14018647923848,33.14018647923848,33.14018647923848,33.14018647923848,99.912,dry,0.9,1
0.012,193.10525761416503,193.10525761416503,193.10525761416503,193.10525761416503,34.32236587406594,34.32236587406594,34.32236587406594,34.32236587406594,99.904,dry,0.9,1
0.013000000000000001,191.5493517646739,191.5493517646739,191.5493517646739,191.5493517646739,35.501322796993755,35.501322796993755,35.501322796993755,35.501322796993755,99.896,dry,0.9,1
0.014,190.00186633314863,190.00186633314863,190.00186633314863,190.00186633314863,36.67679198768796,36.67679198768796,36.67679198768796,36.67679198768796,99.888,dry,0.9,1
0.015,188.46341214440562,188.46341214440562,188.46341214440562,188.46341214440562,37.84850897053963,37.84850897053963,37.84850897053963,37.84850897053963,99.88,dry,0.9,1
0.016,186.93459631300212,186.93459631300212,186.93459631300212,186.93459631300212,39.01621011417077,39.01621011417077,39.01621011417077,39.01621011417077,99.872,dry,0.9,1
0.017,185.41602200098066,185.41602200098066,185.41602200098066,185.41602200098066,40.179632690750246,40.179632690750246,40.179632690750246,40.179632690750246,99.864,dry,0.9,1
0.018000000000000002,183.90828817723408,183.90828817723408,183.90828817723408,183.90828817723408,41.33851493510649,41.33851493510649,41.33851493510649,41.33851493510649,99.856,dry,0.9,1
0.019,182.4119893785858,182.4119893785858,182.4119893785858,182.4119893785858,42.49259610362352,42.49259610362352,42.49259610362352,42.49259610362352,99.848,dry,0.9,1
0.02,180.92771547268157,180.92771547268157,180.92771547268157,180.92771547268157,43.641616532907165,43.641616532907165,43.641616532907165,43.641616532907165,99.84,dry,0.9,1
0.021,179.45605142278674,179.45605142278674,179.45605142278674,179.45605142278674,44.78531769820823,44.78531769820823,44.78531769820823,44.78531769820823,99.832,dry,0.9,1
0.022,177.99757705458347,177.99757705458347,177.99757705458347,177.99757705458347,45.923442271589465,45.923442271589465,45.923442271589465,45.923442271589465,99.824,dry,0.9,1
0.023,176.55286682505954,176.55286682505954,176.55286682505954,176.55286682505954,47.0557341798233,47.0557341798233,47.0557341798233,47.0557341798233,99.816,dry,0.9,1
0.024,175.12248959358317,175.12248959358317,175.12248959358317,175.12248959358317,48.1819386620072,48.1819386620072,48.1819386620072,48.1819386620072,99.808,dry,0.9,1
0.025,173.70700839525213,173.70700839525213,173.70700839525213,173.70700839525213,49.3018023268838,49.3018023268838,49.3018023268838,49.3018023268838,99.8,dry,0.9,1
0.026000000000000002,172.30698021661027,172.30698021661027,172.30698021661027,172.30698021661027,50.41507320985291,50.41507320985291,50.41507320985291,50.41507320985291,99.792,dry,0.9,1
0.027,170.92295577381842,170.92295577381842,170.92295577381842,170.92295577381842,51.521500829662436,51.521500829662436,51.521500829662436,51.521500829662436,99.784,dry,0.9,1
0.028,169.5554792933702,169.5554792933702,169.5554792933702,169.5554792933702,52.62083624476561,52.62083624476561,52.62083624476561,52.62083624476561,99.776,dry,0.9,1
0.029,168.20508829543812,168.20508829543812,168.20508829543812,168.20508829543812,53.71283210933184,53.71283210933184,53.71283210933184,53.71283210933184,99.768,dry,0.9,1
0.03,166.87231337993734,166.87231337993734,166.87231337993734,166.87231337993734,54.79724272889841,54.79724272889841,54.79724272889841,54.79724272889841,99.76,dry,0.9,1
0.031,165.5576780153921,165.5576780153921,165.5576780153921,165.5576780153921,55.87382411565075,55.87382411565075,55.87382411565075,55.87382411565075,99.752,dry,0.9,1
0.032,164.26169833068852,164.26169833068852,164.26169833068852,164.26169833068852,56.94233404331863,56.94233404331863,56.94233404331863,56.94233404331863,99.744,dry,0.9,1
0.033,162.9848829097969,162.9848829097969,162.9848829097969,162.9848829097969,58.00253210167607,58.00253210167607,58.00253210167607,58.00253210167607,99.736,dry,0.9,1
0.034,161.72773258954487,161.72773258954487,161.72773258954487,161.72773258954487,59.0541797506326,59.0541797506326,59.0541797506326,59.0541797506326,99.728,dry,0.9,1
0.035,160.490740260522,160.490740260522,160.490740260522,160.490740260522,60.09704037390384,60.09704037390384,60.09704037390384,60.09704037390384,99.72,dry,0.9,1
0.036000000000000004,159.2743906711953,159.2743906711953,159.2743906711953,159.2743906711953,61.13087933224905,61.13087933224905,61.13087933224905,61.13087933224905,99.712,dry,0.9,1
0.037,158.0791602353126,158.0791602353126,158.0791602353126,158.0791602353126,62.155464016264105,62.155464016264105,62.155464016264105,62.155464016264105,99.704,dry,0.9,1
0.038,156.90551684267143,156.90551684267143,156.90551684267143,156.90551684267143,63.17056389871753,63.17056389871753,63.17056389871753,63.17056389871753,99.696,dry,0.9,1
0.039,155.75391967332752,155.75391967332752,155.75391967332752,155.75391967332752,64.17595058641821,64.17595058641821,64.17595058641821,64.17595058641821,99.688,dry,0.9,1
0.04,154.62481901531734,154.62481901531734,154.62481901531734,154.62481901531734,65.17139787160284,65.17139787160284,65.17139787160284,65.17139787160284,99.68,dry,0.9,1
0.041,153.518656085967,153.518656085967,153.518656085967,153.518656085967,66.15668178283174,66.15668178283174,66.15668178283174,66.15668178283174,99.672,dry,0.9,1
0.042,152.43586285685834,152.43586285685834,152.43586285685834,152.43586285685834,67.13158063538157,67.13158063538157,67.13158063538157,67.13158063538157,99.664,dry,0.9,1
0.043000000000000003,151.37686188252079,151.37686188252079,151.37686188252079,151.37686188252079,68.0958750811233,68.0958750811233,68.0958750811233,68.0958750811233,99.656,dry,0.9,1
0.044,150.3420661329189,150.3420661329189,150.3420661329189,150.3420661329189,69.0493481578747,69.0493481578747,69.0493481578747,69.0493481578747,99.648,dry,0.9,1
0.045,149.33187882979993,149.33187882979993,149.33187882979993,149.33187882979993,69.99178533821598,69.99178533821598,69.99178533821598,69.99178533821598,99.64,dry,0.9,1
0.046,148.34669328696745,148.34669328696745,148.34669328696745,148.34669328696745,70.92297457775743,70.92297457775743,70.92297457775743,70.92297457775743,99.632,dry,0.9,1
0.047,147.38689275454402,147.38689275454402,147.38689275454402,147.38689275454402,71.84270636284857,71.84270636284857,71.84270636284857,71.84270636284857,99.624,dry,0.9,1
0.048,146.45285026728422,146.45285026728422,146.45285026728422,146.45285026728422,72.75077375771785,72.75077375771785,72.75077375771785,72.75077375771785,99.616,dry,0.9,1
